,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
322,Tara,RU,56.8944,74.371,5.16,97,100,4.36,overcast clouds
323,Uige,AO,-7.6087,15.0613,65.62,100,100,2.53,light rain
324,Bonthe,SL,7.5264,-12.505,75.87,78,0,2.66,clear sky
325,Koutsouras,GR,35.0339,25.9469,57.11,69,5,9.19,clear sky
326,Veraval,IN,20.9,70.3667,61.77,39,0,17.0,clear sky
327,Biak,ID,-0.9131,122.8766,82.08,68,100,0.83,overcast clouds
328,Bengkulu,ID,-3.8004,102.2655,76.96,82,100,4.23,overcast clouds
329,Brae,GB,60.3964,-1.353,45.36,80,97,9.28,overcast clouds
330,Miyako,JP,39.6367,141.9525,34.81,49,56,8.08,broken clouds
331,Mesto Albrechtice,CZ,50.1629,17.5748,51.22,76,100,19.17,overcast clouds
332,Hammerfest,NO,70.6634,23.6821,18.05,86,40,0.0,scattered clouds
333,Cap Malheureux,MU,-19.9842,57.6142,75.47,79,37,3.0,heavy intensity rain
334,Raga,SS,8.4596,25.678,68.65,36,0,4.85,clear sky
335,Araouane,ML,18.9048,-3.5265,62.24,21,100,9.84,overcast clouds
336,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.05,98,54,1.52,broken clouds
337,Mlonggo,ID,-6.5333,110.7,77.54,86,100,10.49,overcast clouds
338,Flinders,AU,-34.5833,150.8552,71.19,71,86,11.99,overcast clouds
339,Hurup,DK,56.7494,8.4195,36.72,95,100,5.01,overcast clouds
340,Korla,CN,41.7597,86.1469,17.28,59,90,2.3,overcast clouds
341,Lompoc,US,34.6391,-120.4579,58.78,91,100,14.97,mist
342,Jinka,ET,5.65,36.65,62.29,40,0,3.44,clear sky
343,Felipe Carrillo Puerto,MX,19.5833,-88.05,73.81,91,3,3.94,clear sky
344,Otradnoye,RU,59.7775,30.8181,12.96,97,79,1.88,light snow
345,Marsa Matruh,EG,31.3525,27.2453,55.6,76,40,9.22,scattered clouds
346,Grindavik,IS,63.8424,-22.4338,25.27,74,0,9.22,clear sky
